ID,Date_birth,Troop,Primiparous,Year,Adult
brie,2013-12-05,PT,1,2013,0
herm,2013-11-04,PT,1,2013,0
tyva,2013-10-22,PT,1,2013,0
phoe,2013-10-14,RBM,1,2013,0
arwe,2013-10-31,RST,1,2013,0
pene,2013-11-25,RST,1,2013,0
shum,2013-10-22,RST,1,2013,0
valk,2013-10-25,RST,1,2013,0
need,2014-11-09,PT,1,2014,0
turt,2014-11-21,PT,1,2014,0
coco,2014-11-09,RBM,1,2014,0
dori,2014-10-22,RBM,1,2014,0
lucy,2014-10-27,RBM,1,2014,0
cycl,2014-10-20,RST,1,2014,0
kels,2014-10-23,RST,1,2014,0
jasm,2015-10-22,RST,1,2015,0
ubun,2015-11-20,RST,1,2015,0
saff,2016-10-26,RBM,1,2016,0
cind,2017-10-31,RBM,1,2017,0
peet,2017-12-04,RST,1,2017,0
oreo,2018-10-19,RBM,1,2018,0
wolo,2018-10-21,RBM,1,2018,0
amy,2018-10-19,RST,1,2018,0
lia,2018-10-25,PT,1,2018,0
gord,2018-10-25,PT,1,2018,0
cola,2018-10-31,rbm,1,2018,0
pean,2018-11-09,RBM,1,2018,0
tita,2018-11-11,PT,1,2018,0
nobo,2018-11-11,PT,1,2018,0
daff,2013-11-07,PT,0,2013,1
glad,2013-11-04,PT,1,2013,0
lisa,2013-10-28,PT,1,2013,0
puzz,2013-10-22,PT,1,2013,0
trac,2013-10-28,PT,1,2013,0
carm,2013-10-22,RBM,0,2013,1
fay,2013-10-14,RBM,0,2013,1
flo,2013-11-15,RBM,1,2013,0
ging,2013-10-18,RBM,0,2013,1
holl,2013-10-18,RBM,0,2013,1
ocea,2013-10-17,RBM,0,2013,1
scar,2013-10-14,RBM,0,2013,1
sash,2013-10-31,RBM,0,2013,1
wokb,2013-10-14,RBM,1,2013,0
dott,2013-11-25,RST,0,2013,1
ella,2013-10-23,RST,0,2013,1
glit,2013-10-14,RST,0,2013,1
kins,2013-11-04,RST,0,2013,1
laya,2013-12-02,RST,1,2013,0
laur,2013-10-25,RST,0,2013,1
pris,2013-12-30,RST,0,2013,1
tear,2013-10-29,RST,0,2013,1
brie,2014-11-16,PT,0,2014,1
daff,2014-12-18,PT,0,2014,1
glad,2014-11-15,PT,0,2014,1
herm,2014-11-11,PT,0,2014,1
lisa,2014-12-07,PT,0,2014,1
naom,2014-11-09,PT,1,2014,0
puzz,2014-11-02,PT,0,2014,1
tyva,2014-11-02,PT,0,2014,1
carm,2014-11-07,RBM,0,2014,1
flo,2014-11-11,RBM,0,2014,1
fay,2014-10-27,RBM,0,2014,1
ging,2014-12-12,RBM,0,2014,1
holl,2014-10-27,RBM,0,2014,1
ocea,2014-11-03,RBM,0,2014,1
phoe,2015-10-16,RBM,0,2015,1
sash,2014-10-27,RBM,0,2014,1
scar,2014-11-02,RBM,0,2014,1
wokb,2014-10-13,RBM,0,2014,1
arwe,2014-11-03,RST,0,2014,1
dott,2014-11-03,RST,0,2014,1
ella,2014-11-03,RST,0,2014,1
glit,2014-10-28,RST,0,2014,1
laur,2014-11-06,RST,0,2014,1
pris,2014-12-01,RST,0,2014,1
pene,2014-11-20,RST,0,2014,1
shum,2014-10-20,RST,0,2014,1
tear,2014-11-04,RST,0,2014,1
lisa,2016-01-01,PT,0,2015,1
puzz,2015-11-05,PT,0,2015,1
coco,2015-11-13,RBM,0,2015,1
carm,2015-11-11,RBM,0,2015,1
dori,2015-12-12,RBM,0,2015,1
flo,2016-01-01,RBM,0,2015,1
ging,2015-12-02,RBM,0,2015,1
holl,2015-10-22,RBM,0,2015,1
lucy,2015-10-26,RBM,0,2015,1
ocea,2015-11-14,RBM,0,2015,1
phoe,2015-10-25,RBM,0,2015,1
sash,2015-10-27,RBM,0,2015,1
wokb,2015-10-26,RBM,0,2015,1
arwe,2015-11-23,RST,0,2015,1
cycl,2015-12-11,RST,0,2015,1
dott,2015-11-14,RST,0,2015,1
ella,2015-11-09,RST,0,2015,1
kins,2016-02-10,RST,0,2015,1
laur,2015-11-15,RST,0,2015,1
laya,2015-11-14,RST,0,2015,1
shum,2015-10-31,RST,0,2015,1
tear,2015-11-10,RST,0,2015,1
need,2016-10-16,PT,0,2016,1
tyva,2016-11-18,PT,0,2016,1
coco,2016-10-26,RBM,0,2016,1
dori,2016-10-31,RBM,0,2016,1
ging,2016-10-24,RBM,0,2016,1
holl,2016-10-21,RBM,0,2016,1
lucy,2016-10-04,RBM,0,2016,1
phoe,2016-10-17,RBM,0,2016,1
sash,2016-10-21,RBM,0,2016,1
tear,2016-11-04,RST,0,2016,1
wokb,2016-10-18,RBM,0,2016,1
cycl,2016-11-15,RST,0,2016,1
dott,2016-12-13,RST,0,2016,1
ella,2016-10-21,RST,0,2016,1
jasm,2016-10-19,RST,0,2016,1
laur,2016-10-18,RST,0,2016,1
pris,2017-01-05,RST,0,2016,1
ubun,2016-10-20,RST,0,2016,1
valk,2016-10-09,RST,0,2016,1
meg,2017-11-03,RST,0,2017,1
puzz,2017-11-03,PT,0,2017,1
holl,2017-11-06,RBM,0,2017,1
tyva,2017-11-15,PT,0,2017,1
saff,2017-11-20,RBM,0,2017,1
laur,2017-11-24,RST,0,2017,1
shum,2017-11-29,PT,0,2017,1
brie,2017-12-05,PT,0,2017,1
lisa,2017-12-04,PT,0,2017,1
turt,2018-02-10,PT,0,2017,1
lucy,2018-10-19,RBM,0,2018,1
lisa,2018-10-24,PT,0,2018,1
holl,2018-10-26,RBM,0,2018,1
tear,2018-10-28,rst,0,2018,1
need,2018-10-28,pt,0,2018,1
ella,2018-10-28,rst,0,2018,1
daff,2018-10-30,pt,0,2018,1
herm,2018-11-07,PT,0,2018,1
brie,2018-11-13,PT,0,2018,1
laur,2018-11-30,RST,0,2018,1
saff,2018-12-04,RBM,0,2018,1
cind,2018-12-04,RBM,0,2018,1
meg,2018-12-05,RST,0,2018,1
need,2018-10-28,PT,0,2018,1
ruth,2011-01-01,PT,0,2013,1